账户,报告日期,日期,推广计划,推广单元,推广创意,推广设备,口径,订单类型,当天/15天,投放平台,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,下单新客数,访客数,访问页面数,访问时长,深度进店数,商品关注数,店铺关注数,预约数,领皇
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-4228451-推荐位M,4228451-洁面,全部,点击,全部订单,当天,推荐,372728,252,0.07,971.16,2.61,3.85,8,380.20,5,238.50,13,618.70,29,19,48,5.16,0.64,10,,390,138.9,66,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-4228451-推荐位M,4228451-洁面,全部,点击,全部订单,当天,搜索,14,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-4228451-推荐位PC,4228451-洁面,全部,点击,全部订单,当天,推荐,92402,42,0.05,90.32,0.98,2.15,0,0.00,0,0.00,0,0.00,8,4,12,0.00,0.00,0,,71,37.5,16,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-4228451-推荐位PC,4228451-洁面,全部,点击,全部订单,当天,搜索,1,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154398-推荐位PC,5154398-洁面,全部,点击,全部订单,当天,推荐,38268,14,0.04,37.28,0.97,2.66,1,44.90,1,25.90,2,70.80,2,2,4,14.29,1.90,1,,42,26.3,7,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154398-推荐位PC,5154398-洁面,全部,点击,全部订单,当天,搜索,18,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154400-推荐位PC,5154400-洁面,全部,点击,全部订单,当天,推荐,33749,3,0.01,10.99,0.33,3.66,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,6,9.0,2,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位PC,多芬洁面-5154400-推荐位PC,5154400-洁面,全部,点击,全部订单,当天,搜索,5,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-4228451-竞品PC,4228451-洁面,全部,点击,全部订单,当天,推荐,42,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-4228451-竞品PC,4228451-洁面,全部,点击,全部订单,当天,搜索,16625,4,0.02,19.86,1.19,4.97,2,101.80,0,0.00,2,101.80,4,1,5,50.00,5.13,1,,20,7.3,3,1,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-5154398-竞品PC,5154398-洁面,全部,点击,全部订单,当天,推荐,3,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-5154398-竞品PC,5154398-洁面,全部,点击,全部订单,当天,搜索,16331,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-5154400-竞品PC,5154400-洁面,全部,点击,全部订单,当天,推荐,2,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-竞品PC,多芬洁面-5154400-竞品PC,5154400-洁面,全部,点击,全部订单,当天,搜索,16000,1,0.01,6.02,0.38,6.02,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,7,5.8,2,1,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用PC,多芬洁面-5154400-通用PC,5154400-洁面,全部,点击,全部订单,当天,推荐,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用PC,多芬洁面-5154400-通用PC,5154400-洁面,全部,点击,全部订单,当天,搜索,15704,22,0.14,190.83,12.15,8.67,1,50.90,1,45.90,2,96.80,3,8,11,9.09,0.51,1,,61,58.2,8,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用M,多芬洁面-4228451-通用M,4228451-洁面,全部,点击,全部订单,当天,推荐,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用M,多芬洁面-4228451-通用M,4228451-洁面,全部,点击,全部订单,当天,搜索,13746,284,2.07,1874.83,136.39,6.60,26,1265.80,22,921.30,48,2187.10,68,45,113,16.90,1.17,42,,604,266.8,101,2,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌PC,多芬洁面-5154398-品牌PC,5154398-洁面,全部,点击,全部订单,当天,推荐,3,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌PC,多芬洁面-5154398-品牌PC,5154398-洁面,全部,点击,全部订单,当天,搜索,3315,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用PC,多芬洁面-4228451-通用PC,4228451-洁面,全部,点击,全部订单,当天,推荐,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用PC,多芬洁面-4228451-通用PC,4228451-洁面,全部,点击,全部订单,当天,搜索,3295,7,0.21,35.81,10.87,5.12,3,142.70,1,35.90,4,178.60,2,1,3,57.14,4.99,3,,14,8.1,3,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌PC,多芬洁面-5154400-品牌PC,5154400-洁面,全部,点击,全部订单,当天,推荐,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌PC,多芬洁面-5154400-品牌PC,5154400-洁面,全部,点击,全部订单,当天,搜索,2721,2,0.07,10.93,4.02,5.47,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,4,2.3,1,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌PC,多芬洁面-4228451-品牌PC,4228451-洁面,全部,点击,全部订单,当天,推荐,38,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌PC,多芬洁面-4228451-品牌PC,4228451-洁面,全部,点击,全部订单,当天,搜索,2636,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-5154400-推荐位M,5154400-洁面,全部,点击,全部订单,当天,推荐,2310,3,0.13,5.39,2.33,1.80,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,7,0.8,2,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-5154400-推荐位M,5154400-洁面,全部,点击,全部订单,当天,搜索,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-5154398-推荐位M,5154398-洁面,全部,点击,全部订单,当天,推荐,1250,3,0.24,5.45,4.36,1.82,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,7,3.9,2,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-推荐位M,多芬洁面-5154398-推荐位M,5154398-洁面,全部,点击,全部订单,当天,搜索,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用PC,多芬洁面-5154398-通用PC,5154398-洁面,全部,点击,全部订单,当天,推荐,8,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用PC,多芬洁面-5154398-通用PC,5154398-洁面,全部,点击,全部订单,当天,搜索,635,1,0.16,6.86,10.80,6.86,0,0.00,0,0.00,0,0.00,1,0,1,0.00,0.00,0,,2,3.8,1,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用M,多芬洁面-5154398-通用M,5154398-洁面,全部,点击,全部订单,当天,推荐,6,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用M,多芬洁面-5154398-通用M,5154398-洁面,全部,点击,全部订单,当天,搜索,524,16,3.05,65.71,125.40,4.11,1,44.90,2,81.00,3,125.90,6,3,9,18.75,1.92,0,,40,11.2,6,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌M,多芬洁面-5154398-品牌M,5154398-洁面,全部,点击,全部订单,当天,推荐,3,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌M,多芬洁面-5154398-品牌M,5154398-洁面,全部,点击,全部订单,当天,搜索,387,1,0.26,3.01,7.78,3.01,0,0.00,1,34.00,1,34.00,0,5,5,100.00,11.30,1,,10,1.4,2,1,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌M,多芬洁面-5154400-品牌M,5154400-洁面,全部,点击,全部订单,当天,推荐,22,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌M,多芬洁面-5154400-品牌M,5154400-洁面,全部,点击,全部订单,当天,搜索,29,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用M,多芬洁面-5154400-通用M,5154400-洁面,全部,点击,全部订单,当天,推荐,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-通用M,多芬洁面-5154400-通用M,5154400-洁面,全部,点击,全部订单,当天,搜索,31,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌M,多芬洁面-4228451-品牌M,4228451-洁面,全部,点击,全部订单,当天,推荐,7,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
dv,20170925-20170925,20170925,多芬洁面-品牌M,多芬洁面-4228451-品牌M,4228451-洁面,全部,点击,全部订单,当天,搜索,15,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0,,0,0.0,0,0,0,0,0,
